Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C16651;C66786;;Country;GLP;GLP;GUADELOUPE;Islands in the eastern Caribbean Sea, southeast of Puerto Rico.;Guadeloupe;
C16598;C66786;;Country;GMB;GMB;GAMBIA;A country in Western Africa, bordering the North Atlantic Ocean and Senegal.;Gambia;
C16656;C66786;;Country;GNB;GNB;GUINEA-BISSAU;A country in Western Africa, bordering the North Atlantic Ocean, between Guinea and Senegal.;Guinea-Bissau;
C16557;C66786;;Country;GNQ;GNQ;EQUATORIAL GUINEA;"A country in Western Africa, bordering the Bight of Biafra, between Cameroon and Gabon; composed of a mainland portion and five inhabited islands.";Equatorial Guinea;
C16645;C66786;;Country;GRC;GRC;GREECE;A country in Southern Europe, bordering the Aegean Sea, Ionian Sea, and the Mediterranean Sea, between Albania and Turkey.;Greece;
C16647;C66786;;Country;GRD;GRD;GRENADA;An island between the Caribbean Sea and Atlantic Ocean, north of Trinidad and Tobago.;Grenada;
C16646;C66786;;Country;GRL;GRL;GREENLAND;An island between the Arctic Ocean and the North Atlantic Ocean, northeast of Canada.;Greenland;
C16654;C66786;;Country;GTM;GTM;GUATEMALA;A country in Central America, bordering the Caribbean Sea, between Honduras and Belize and bordering the North Pacific Ocean, between El Salvador and Mexico.;Guatemala;
C16593;C66786;;Country;GUF;GUF;FRENCH GUIANA;A country in Northern South America, bordering the North Atlantic Ocean, between Brazil and Suriname.;French Guiana;
C16652;C66786;;Country;GUM;GUM;GUAM;Island in the North Pacific Ocean, about three-quarters of the way from Hawaii to the Philippines.;Guam;
C16657;C66786;;Country;GUY;GUY;GUYANA;A country in Northern South America, bordering the North Atlantic Ocean, between Suriname and Venezuela.;Guyana;
C16695;C66786;;Country;HKG;HKG;"HKG; HONG KONG";A special administrative region of China, bordering the South China Sea and China.;Hong Kong;
C20106;C66786;;Country;HMD;HMD;HEARD ISLAND AND MCDONALD ISLANDS;Islands in the Indian Ocean, about two-thirds of the way from Madagascar to Antarctica.;Heard Island and McDonald Islands;
C16694;C66786;;Country;HND;HND;HONDURAS;A country in Central America, bordering the Caribbean Sea, between Guatemala and Nicaragua and bordering the North Pacific Ocean, between El Salvador and Nicaragua.;Honduras;
C16474;C66786;;Country;HRV;HRV;CROATIA;A country in Southeastern Europe, bordering the Adriatic Sea, between Bosnia and Herzegovina and Slovenia.;Croatia;
C16660;C66786;;Country;HTI;HTI;HAITI;A country comprising the western one-third of the island of Hispaniola, between the Caribbean Sea and the North Atlantic Ocean, west of the Dominican Republic.;Haiti;
C16699;C66786;;Country;HUN;HUN;HUNGARY;A country in Central Europe, northwest of Romania.;Hungary;
C16728;C66786;;Country;IDN;IDN;INDONESIA;A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.;Indonesia;
C16727;C66786;;Country;IND;IND;INDIA;A country in Southern Asia, bordering the Arabian Sea and the Bay of Bengal, between Burma and Pakistan.;India;
C44480;C66786;;Country;IMN;IMN;ISLE OF MAN;An island in the Irish Sea, between Great Britain and Ireland.;Isle of Man;
C16365;C66786;;Country;IOT;IOT;BRITISH INDIAN OCEAN TERRITORY;An archipelago in the Indian Ocean, about one-half the way from Africa to Indonesia.;British Indian Ocean Territory;
C16757;C66786;;Country;IRL;IRL;IRELAND;A country in Western Europe, occupying five-sixths of the island of Ireland in the North Atlantic Ocean, west of Great Britain.;Ireland;
C16755;C66786;;Country;IRN;IRN;IRAN;A country in the Middle East, bordering the Gulf of Oman, the Persian Gulf, and the Caspian Sea, between Iraq and Pakistan.;Iran;
C16756;C66786;;Country;IRQ;IRQ;IRAQ;A country in the Middle East, bordering the Persian Gulf, between Iran and Kuwait.;Iraq;
C16704;C66786;;Country;ISL;ISL;ICELAND;A country in Northern Europe, island between the Greenland Sea and the North Atlantic Ocean, northwest of the UK.;Iceland;
C16760;C66786;;Country;ISR;ISR;ISRAEL;A country in the Middle East, bordering the Mediterranean Sea, between Egypt and Lebanon.;Israel;
C16761;C66786;;Country;ITA;ITA;ITALY;A country in Southern Europe, occupying a peninsula extending into the central Mediterranean Sea, northeast of Tunisia.;Italy;
C16763;C66786;;Country;JAM;JAM;JAMAICA;An island in the Caribbean Sea, south of Cuba.;Jamaica;
C16765;C66786;;Country;JOR;JOR;JORDAN;A country in the Middle East, northwest of Saudi Arabia.;Jordan;
C16764;C66786;;Country;JPN;JPN;JAPAN;A country in Eastern Asia, occupying an island chain between the North Pacific Ocean and the Sea of Japan, east of the Korean Peninsula.;Japan;
C64374;C66786;;Country;JRE;JEY;JERSEY;Jersey and the other Channel Islands represent the last remnants of the medieval Dukedom of Normandy that held sway in both France and England. Jersey is a British crown dependency, but is not part of the UK.;Jersey;
C20107;C66786;;Country;KAZ;KAZ;KAZAKHSTAN;A country in Central Asia, northwest of China.;Kazakhstan;
C16769;C66786;;Country;KEN;KEN;KENYA;A country in Eastern Africa, bordering the Indian Ocean, between Somalia and Tanzania.;Kenya;
C16771;C66786;;Country;KGZ;KGZ;KYRGYZSTAN;A country in Central Asia, west of China.;Kyrgyzstan;
C16378;C66786;;Country;KHM;KHM;CAMBODIA;A country in Southeastern Asia, bordering the Gulf of Thailand, between Thailand, Vietnam, and Laos.;Cambodia;
C16639;C66786;;Country;KIR;KIR;KIRIBATI;"A group of 33 coral atolls in the Pacific Ocean, straddling the equator; the capital Tarawa is about one-half of the way from Hawaii to Australia.";Kiribati;
C17885;C66786;;Country;KNA;KNA;SAINT KITTS AND NEVIS;Islands in the Caribbean Sea, about one-third of the way from Puerto Rico to Trinidad and Tobago.;Saint Kitts and Nevis;
C16774;C66786;;Country;KOR;KOR;SOUTH KOREA;A country in Eastern Asia, occupying the southern half of the Korean Peninsula, bordering the Sea of Japan and the Yellow Sea.;South Korea;
C16775;C66786;;Country;KWT;KWT;KUWAIT;A country in the Middle East, bordering the Persian Gulf, between Iraq and Saudi Arabia.;Kuwait;
C16780;C66786;;Country;LAO;LAO;LAO PEOPLE'S DEMOCRATIC REPUBLIC;A country in Southeastern Asia, northeast of Thailand, west of Vietnam.;Lao People's Democratic Republic;
C16784;C66786;;Country;LBN;LBN;LEBANON;A country in the Middle East, bordering the Mediterranean Sea, between Israel and Syria.;Lebanon;
C16791;C66786;;Country;LBR;LBR;LIBERIA;A country in Western Africa, bordering the North Atlantic Ocean, between Cote d'Ivoire and Sierra Leone.;Liberia;
C16793;C66786;;Country;LBY;LBY;LIBYAN ARAB JAMAHIRIYA;A country in Northern Africa, bordering the Mediterranean Sea, between Egypt and Tunisia.;Libyan Arab Jamahiriya;
C17113;C66786;;Country;LCA;LCA;SAINT LUCIA;A country in the Caribbean, occupying an island between the Caribbean Sea and North Atlantic Ocean, north of Trinidad and Tobago.;Saint Lucia;
C16794;C66786;;Country;LIE;LIE;LIECHTENSTEIN;A country in Central Europe, between Austria and Switzerland.;Liechtenstein;
C17163;C66786;;Country;LKA;LKA;SRI LANKA;A country in Southern Asia, occupying an island in the Indian Ocean, south of India.;Sri Lanka;
C16787;C66786;;Country;LSO;LSO;LESOTHO;A country in Southern Africa, an enclave of South Africa.;Lesotho;
C16799;C66786;;Country;LTU;LTU;LITHUANIA;A country in Eastern Europe, bordering the Baltic Sea, between Latvia and Russia.;Lithuania;
C16803;C66786;;Country;LUX;LUX;LUXEMBOURG;A country in Western Europe, between France, Belgium, and Germany.;Luxembourg;
C16783;C66786;;Country;LVA;LVA;LATVIA;A country in Eastern Europe, bordering the Baltic Sea, between Estonia and Lithuania.;Latvia;
C16807;C66786;;Country;MAC;MAC;MACAO;A country in Eastern Asia, bordering the South China Sea and China.;Macao;
C83610;C66786;;Country;MAF;MAF;SAINT MARTIN, FRENCH;An island in the Caribbean sea, between Anguilla and Saint Barthelemy.;Saint Martin, French;
C16878;C66786;;Country;MAR;MAR;MOROCCO;A country in Northern Africa, bordering the North Atlantic Ocean and the Mediterranean Sea, between Algeria and Western Sahara.;Morocco;
C16874;C66786;;Country;MCO;MCO;MONACO;A country in Western Europe, bordering the Mediterranean Sea on the southern coast of France, near the border with Italy.;Monaco;
C16871;C66786;;Country;MDA;MDA;MOLDOVA, REPUBLIC OF;A country in Eastern Europe, northeast of Romania.;Moldova;
C16808;C66786;;Country;MDG;MDG;MADAGASCAR;A country in Southern Africa, occupying an island in the Indian Ocean, east of Mozambique.;Madagascar;
C16815;C66786;;Country;MDV;MDV;MALDIVES;A country in Southern Asia, occupying a group of atolls in the Indian Ocean, south-southwest of India.;Maldives;
C16850;C66786;;Country;MEX;MEX;MEXICO;A country in Central America, bordering the Caribbean Sea and the Gulf of Mexico, between Belize and the US and bordering the North Pacific Ocean, between Guatemala and the US.;Mexico;
C16822;C66786;;Country;MHL;MHL;MARSHALL ISLANDS;A group of atolls and reefs in the North Pacific Ocean, about one-half of the way from Hawaii to Australia.;Marshall Islands;
C17654;C66786;;Country;MKD;MKD;REPUBLIC OF MACEDONIA;A country in Southeastern Europe, north of Greece.;Republic of Macedonia;
C16816;C66786;;Country;MLI;MLI;MALI;A country in Western Africa, southwest of Algeria.;Mali;
C16817;C66786;;Country;MLT;MLT;MALTA;A country in Southern Europe, occupying islands in the Mediterranean Sea, south of Sicily (Italy).;Malta;
C16370;C66786;;Country;MMR;MMR;MYANMAR;A country in Southeastern Asia, bordering the Andaman Sea and the Bay of Bengal, between Bangladesh and Thailand.;Myanmar;
C64378;C66786;;Country;MNE;MNE;MONTENEGRO;A republic in Southeastern Europe, bordering the Adriatic Sea, between Albania and Bosnia and Herzegovina. Formerly part of Serbia and Montenegro (Federation Republic of Yugoslavia).;Montenegro;
C16875;C66786;;Country;MNG;MNG;MONGOLIA;A country in Northern Asia, between China and Russia.;Mongolia;
C17882;C66786;;Country;MNP;MNP;NORTHERN MARIANA ISLANDS;A country in the Pacific, comprising islands in the North Pacific Ocean, about three-quarters of the way from Hawaii to the Philippines.;Northern Mariana Islands;
C16882;C66786;;Country;MOZ;MOZ;MOZAMBIQUE;A country in Southern Africa, bordering the Mozambique Channel, between South Africa and Tanzania.;Mozambique;
C16826;C66786;;Country;MRT;MRT;MAURITANIA;A country in Northern Africa, bordering the North Atlantic Ocean, between Senegal and Western Sahara.;Mauritania;
C16876;C66786;;Country;MSR;MSR;MONTSERRAT;A country in the Caribbean, occupying an island in the Caribbean Sea, southeast of Puerto Rico.;Montserrat;
C16823;C66786;;Country;MTQ;MTQ;MARTINIQUE;An island in the Caribbean Sea, north of Trinidad and Tobago.;Martinique;
C16827;C66786;;Country;MUS;MUS;MAURITIUS;A country in Southern Africa, occupying an island in the Indian Ocean, east of Madagascar.;Mauritius;
C16813;C66786;;Country;MWI;MWI;MALAWI;A country in Southern Africa, east of Zambia.;Malawi;
C16814;C66786;;Country;MYS;MYS;MALAYSIA;A country in Southeastern Asia, occupying a peninsula and the northern one-third of the island of Borneo, bordering Indonesia and the South China Sea, south of Vietnam.;Malaysia;
C16828;C66786;;Country;MYT;MYT;MAYOTTE;A country in Southern Africa, occupying an island in the Mozambique Channel, about one-half of the way from northern Madagascar to northern Mozambique.;Mayotte;
C16891;C66786;;Country;NAM;NAM;NAMIBIA;A country in Southern Africa, bordering the South Atlantic Ocean, between Angola and South Africa.;Namibia;
C16913;C66786;;Country;NCL;NCL;NEW CALEDONIA;A country in the Pacific, comprised of islands in the South Pacific Ocean, east of Australia.;New Caledonia;
C16916;C66786;;Country;NER;NER;NIGER;A country in Western Africa, southeast of Algeria.;Niger;
C16919;C66786;;Country;NFK;NFK;NORFOLK ISLAND;A country in the Pacific, occupying an island in the South Pacific Ocean, east of Australia.;Norfolk Island;
C16917;C66786;;Country;NGA;NGA;NIGERIA;A country in Western Africa, bordering the Gulf of Guinea, between Benin and Cameroon.;Nigeria;
C16915;C66786;;Country;NIC;NIC;NICARAGUA;A country in Central America, bordering both the Caribbean Sea and the North Pacific Ocean, between Costa Rica and Honduras.;Nicaragua;
C16918;C66786;;Country;NIU;NIU;NIUE;A country in the Pacific, occupying an island in the South Pacific Ocean, east of Tonga.;Niue;
C16903;C66786;;Country;NLD;NLD;NETHERLANDS;A country in Western Europe, bordering the North Sea, between Belgium and Germany.;Netherlands;
C16920;C66786;;Country;NOR;NOR;NORWAY;A country in Northern Europe, bordering the North Sea and the North Atlantic Ocean, west of Sweden.;Norway;
C16901;C66786;;Country;NPL;NPL;NEPAL;A country in Southern Asia, between China and India.;Nepal;
C16896;C66786;;Country;NRU;NRU;NAURU;A country in Oceania, occupying an island in the South Pacific Ocean, south of the Marshall Islands.;Nauru;
C16914;C66786;;Country;NZL;NZL;NEW ZEALAND;A country in the Pacific, comprised of islands in the South Pacific Ocean, southeast of Australia.;New Zealand;
C16933;C66786;;Country;OMN;OMN;OMAN;A country in the Middle East, bordering the Arabian Sea, Gulf of Oman, and Persian Gulf, between Yemen and the United Arab Emirates.;Oman;
C16949;C66786;;Country;PAK;PAK;PAKISTAN;A country in Southern Asia, bordering the Arabian Sea, between India on the east and Iran and Afghanistan on the west and China in the north.;Pakistan;
C16951;C66786;;Country;PAN;PAN;PANAMA;A country in Central America, bordering both the Caribbean Sea and the North Pacific Ocean, between Colombia and Costa Rica.;Panama;
C16993;C66786;;Country;PCN;PCN;PITCAIRN;A country in the Pacific, comprised of islands in the South Pacific Ocean, about midway between Peru and New Zealand.;Pitcairn Island;
C16972;C66786;;Country;PER;PER;PERU;A country in Western South America, bordering the South Pacific Ocean, between Chile and Ecuador.;Peru;
C16978;C66786;;Country;PHL;PHL;PHILIPPINES;A country in Southeastern Asia, comprised of an archipelago between the Philippine Sea and the South China Sea, east of Vietnam.;Philippines;
C17733;C66786;;Country;PLW;PLW;PALAU;A country in the Pacific, comprising a group of islands in the North Pacific Ocean, southeast of the Philippines.;Palau;
C16952;C66786;;Country;PNG;PNG;PAPUA NEW GUINEA;A country in Southeastern Asia, comprising a group of islands and including the eastern half of the island of New Guinea, between the Coral Sea and the South Pacific Ocean, east of Indonesia.;Papua New Guinea;
C17002;C66786;;Country;POL;POL;POLAND;A country in Central Europe, east of Germany.;Poland;
C17043;C66786;;Country;PRI;PRI;PUERTO RICO;An island between the Caribbean Sea and the North Atlantic Ocean, east of the Dominican Republic.;Puerto Rico;
